Subject id,Session id,Run id,Stimulus (ms),Response (ms),Stimulus id,Hit?,Hit Window Fractional Size,Feedback (pixels)
1,1,1,752.653471670328,770.047310482141,3,1,0.15,8.86310257926783
1,1,1,899.377426809679,778.014803557426,5,1,0.135,-61.8408271349059
1,1,1,903.750328952356,897.030767876913,5,1,0.12,-3.42398016583056
1,1,1,674.478731584486,847.94603783439,2,0,0.105,88.3909840763843
1,1,1,902.09956048875,890.012557461887,5,1,0.12,-6.15898243407051
1,1,1,601.482023902463,687.987719109515,1,0,0.105,44.0793351373512
1,1,1,901.702582660619,803.002057524054,5,1,0.12,-50.2932612160838
1,1,1,675.769119050074,736.01840457377,2,1,0.105,30.7002728783164
1,1,1,598.497566380502,580.907070591365,1,1,0.09,-8.96330995624774
1,1,1,673.695671167707,647.041453592692,2,1,0.075,-13.5817669172049
1,1,1,828.644973383234,697.975580695356,4,0,0.06,-66.5831300320397
1,1,1,973.54802670452,1088.99902082521,6,0,0.07,58.8285320360216
1,1,1,675.294198354777,693.992392887822,2,1,0.08,9.5277424372201
1,1,1,899.144715669081,793.025649908031,5,0,0.065,-54.0734093049934
1,1,1,675.174909450789,730.022949844169,2,0,0.075,27.9480460603215
1,1,1,900.879852397338,765.984503617119,5,0,0.09,-68.7364834548887
1,1,1,828.344097154741,842.982278473755,4,1,0.105,7.4589458950393
1,1,1,602.721008186791,590.968684567315,1,1,0.09,-5.98844515642071
1,1,1,900.938519071588,879.882778397814,5,1,0.075,-10.7290398337699
1,1,1,673.290033020749,909.970401266037,2,0,0.065,120.601461526262
1,1,1,598.465160027445,629.001451301747,1,1,0.075,15.5598936429565
1,1,1,826.973252536391,662.010674541079,4,0,0.065,-84.0573645835981
1,1,1,678.693792437116,579.017165589448,2,0,0.075,-50.7906378841619
1,1,1,902.528385940059,815.953703613104,5,0,0.09,-44.1144878099132
1,1,1,901.412881036549,941.000881396803,5,1,0.105,20.1722294829321
1,1,1,748.44874732662,702.97873053687,3,1,0.09,-23.1694353068789
1,1,1,749.298855371308,675.072949215746,3,0,0.075,-37.8221177862734
1,1,1,975.41334757625,1104.06937194534,6,0,0.09,65.5572098696015
1,1,1,753.373395571089,749.972692060055,3,1,0.105,-1.73284255339287
1,1,1,824.671842720136,805.99154361812,4,1,0.09,-9.51862374625012
1,1,1,975.900280971473,936.053325213152,6,1,0.075,-20.3041812781255
1,1,1,601.558290578623,714.007506540611,1,0,0.065,57.2989635475096
1,1,1,603.155141575144,693.994907173874,1,0,0.075,46.2877786490344
1,1,1,977.511100223637,709.013855112971,6,0,0.09,-136.813882858938
1,1,1,675.263747557437,900.981269965769,2,0,0.105,115.015298042462
1,1,1,823.232833013662,860.050928260307,4,1,0.12,18.7608128645323
1,1,1,825.204591994179,661.969607868969,4,0,0.105,-83.1770619746297
1,1,1,976.480801680054,874.983552378808,6,1,0.12,-51.7183435929918
1,1,1,753.133700302669,809.0123186048,3,1,0.105,28.473181300449
1,1,1,751.825433470003,746.985720252042,3,1,0.09,-2.46609590724159
1,1,1,977.961716153914,841.013592509626,6,0,0.075,-69.7824833856244
1,1,1,899.54336968799,809.988140950963,5,0,0.09,-45.6332375730071
1,1,1,823.325582231746,762.954230216565,4,1,0.105,-30.7624723644236
1,1,1,978.081005057902,812.945500056685,6,0,0.09,-84.1454802553972
1,1,1,825.112122141263,785.028544130682,4,1,0.105,-20.4247531264106
1,1,1,603.084741566363,720.960624883901,1,0,0.09,60.0641443656244
1,1,1,828.344655885076,756.925531038178,4,1,0.105,-36.3919107500116
1,1,1,752.540328798887,673.999907809502,3,0,0.09,-40.0205966824887
1,1,1,675.895671447051,700.067466675364,2,1,0.105,12.3168383328981
1,1,1,752.159274782116,715.05121460973,3,1,0.09,-18.9085656929356
1,1,1,972.726134536515,677.957673391347,6,0,0.075,-150.200489755499
1,1,1,975.916763513169,764.007716064498,6,0,0.09,-107.979132457922
1,1,1,749.956760216719,755.029200638774,3,1,0.105,2.58468301760742
1,1,1,900.866163506862,831.083838867926,5,1,0.09,-35.5578724274834
1,1,1,603.847128964844,698.958945899449,1,0,0.075,48.464620094066
1,1,1,752.796506609002,804.992254602212,3,1,0.09,26.5965594869859
1,1,2,897.712410725489,713.046490545594,5,0,0.075,-94.0972841680997
1,1,2,975.452738057356,974.034968131264,6,1,0.09,-0.722430535588617
1,1,2,897.880029794351,1021.98575517286,5,0,0.075,63.238586180134
1,1,2,751.339058804888,718.07478324763,3,1,0.09,-16.949949328539
1,1,2,751.834373153542,672.022561526774,3,0,0.075,-40.6684390454873
1,1,2,976.422973101307,839.995306666196,6,0,0.09,-69.5172822599291
1,1,2,973.642452113381,928.970581456724,6,1,0.105,-22.7627366403348
1,1,2,602.338836709578,625.051228577831,1,1,0.09,11.5731933086643
1,1,2,598.090810773328,725.965450916192,1,0,0.075,65.159052302096
1,1,2,749.982741172516,797.990247363941,3,1,0.09,24.4624235370318
1,1,2,751.445217548508,815.976332187574,3,0,0.075,32.8820966313716
1,1,2,750.110411029709,709.970680631159,3,1,0.09,-20.4533658081786
1,1,2,824.124007730006,883.971845583801,4,1,0.075,30.4957135560738
1,1,2,902.82814470811,869.005697651573,5,1,0.065,-17.2343679268976
1,1,2,828.644973383462,730.039991115973,4,0,0.055,-50.2445769515865
1,1,2,824.134623604323,715.02244000294,4,0,0.065,-55.5985648924243
